category_name,category_name_2,category_name_3,category_name_4,category_name_5,category_name_6,category_name_7,category_name_8,category_name_9,category_name_10,category_name_11,category_name_12
knapsack,"coin_change,5","implementatiom,7","basic_stl,5","inclusion_exclusion, 4","priority_queue,7","recursion,8","queue,5","stack,5","basic_math,5","basic_permutation_combination, 6","observation, 8"
maximum_subarray_sum,"implementatiom,7","basic_stl,5","inclusion_exclusion, 4","priority_queue,7","recursion,8","queue,5","stack,5","basic_math,5","basic_permutation_combination, 6","observation, 8",
longest_increasing_subsequence,"implementatiom,7","basic_stl,5","inclusion_exclusion, 4","priority_queue,7","recursion,8","queue,5","stack,5","basic_math,5","basic_permutation_combination, 6","observation, 8",
longest_common_subsequence,"coin_change,7","knapsack,5",,,,,,,,,
edit_distance,"longest_common_subsequence, 7",,,,,,,,,,
bit_mask,"implementatiom,8","basic_math,9","coin_change,6","knapsack,6",,,,,,,
non_classical,"coin_change,6","knapsack,6","longest_increasing_subsequence,5","longest_common_subsequence,5","bit_mask,5",,,,,,
interval_dp,"non_classical,7","coin_change,7","knapsack,7","bit_mask,7",,,,,,,
component_dp,"non_classical,8","coin_change,7","knapsack,7","bit_mask,7",,,,,,,
divide_and_conquere_optimization,"non_classical,8","coin_change,7","knapsack,7","bit_mask,7","basic_math,10",,,,,,
knuth_optimization,"non_classical,8","coin_change,7","knapsack,7","bit_mask,7","basic_math,10",,,,,,
convex_hull_trick,"non_classical,8","coin_change,7","knapsack,7","bit_mask,7","basic_math,10","convex_hull,5",,,,,
basic_permutation_combination,"basic_math,5","implementatiom,3","observation,5","ad_hoc,5",,,,,,,
star_and_bars_theorem,"basic_permutation_combination, 8","basic_math,5","observation,5",,,,,,,,
inclusion_exclusion,"basic_math,7","basic_permutation_combination, 8","observation,5",,,,,,,,
catalan_number,,,,,,,,,,,
derrangement,,,,,,,,,,,
sterling_number,,,,,,,,,,,
prufer_code,,,,,,,,,,,
burnside_lemma,,,,,,,,,,,
hashing,"basic_math,5","big_mod,6","modular_arithmetic,6","modular_inverse,6","basic_stl,8",,,,,,
z_algorithm,,,,,,,,,,,
kmp,,,,,,,,,,,
manachers_algorithm,,,,,,,,,,,
aho_corasick,,,,,,,,,,,
suffix_array,,,,,,,,,,,
basic_vector_geometry,,,,,,,,,,,
shape_area,,,,,,,,,,,
point_segment_distance,,,,,,,,,,,
picks_theorem,,,,,,,,,,,
segment_segment_intersection,,,,,,,,,,,
closest_pair_of_points,,,,,,,,,,,
shape_intersection,,,,,,,,,,,
convex_hull,,,,,,,,,,,
point_inside_polygon,,,,,,,,,,,
line_sweep,,,,,,,,,,,
rotating_callipers,,,,,,,,,,,
shape_rotation,,,,,,,,,,,
nim,,,,,,,,,,,
misere_nim,,,,,,,,,,,
bogus_nim,,,,,,,,,,,
staircase_nim,,,,,,,,,,,
grundy_number ,,,,,,,,,,,
hackenbush,,,,,,,,,,,
recursion,"implementatiom,5","ad_hoc,3","stack,4","basic_stl,5",,,,,,,
basic_backtracking,"implementatiom,5","ad_hoc,3","stack,4","basic_stl,5","recursion,7",,,,,,
binary_search,"basic_math,4","implementatiom,5","basic_stl,5","ad_hoc,2",,,,,,,
two_pointer,"implementatiom,5","observation,5","ad_hoc,5",,,,,,,,
sliding_window,"two_pointer, 7",,,,,,,,,,
ternary_search,"binary_search,8",,,,,,,,,,
meet_in_the_middle,"implementatiom,7","ad_hoc,4","stack,5","basic_stl,5","queue,5",,,,,,
josephus_problem,,,,,,,,,,,
dancing_links,,,,,,,,,,,
fft,,,,,,,,,,,
ad_hoc,,,,,,,,,,,
observation,"ad_hoc,5",,,,,,,,,,
implementatiom,"ad_hoc,8",,,,,,,,,,
math_calculation,"ad_hoc,5","observation,5",,,,,,,,,
pattern,"observation,5","ad_hoc,5","implementatiom,4",,,,,,,,
