problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Arrange the Numbers,1095,4.99,5.01,lightoj,http://lightoj.com/volume_showproblem.php?problem=1095,641,661
Divisible Group Sums,1125,5.04,4.96,lightoj,http://lightoj.com/volume_showproblem.php?problem=1125,637,663
Marbles,1050,5.09,4.91,lightoj,http://lightoj.com/volume_showproblem.php?problem=1050,629,641
Coin Change (III),1233,5.15,4.85,lightoj,http://lightoj.com/volume_showproblem.php?problem=1233,627,729
Just another Robbery,1079,5.20,4.80,lightoj,http://lightoj.com/volume_showproblem.php?problem=1079,625,697
Baker Vai,1071,5.26,4.74,lightoj,http://lightoj.com/volume_showproblem.php?problem=1071,625,678
Monkeys on Twin Tower,1169,5.31,4.69,lightoj,http://lightoj.com/volume_showproblem.php?problem=1169,589,607
A Refining Company,1036,5.37,4.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1036,568,578
Counting Perfect BST,1170,5.42,4.58,lightoj,http://lightoj.com/volume_showproblem.php?problem=1170,562,587
nth Permutation,1060,5.47,4.53,lightoj,http://lightoj.com/volume_showproblem.php?problem=1060,557,599
Halloween Costumes,1422,5.53,4.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1422,555,600
Thief,1200,5.58,4.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1200,533,562
Fi Binary Number,1105,5.64,4.36,lightoj,http://lightoj.com/volume_showproblem.php?problem=1105,499,517
Be Efficient,1134,5.69,4.31,lightoj,http://lightoj.com/volume_showproblem.php?problem=1134,497,511
Dice (I),1145,5.75,4.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1145,446,458
Palindromic Numbers,1205,5.80,4.20,lightoj,http://lightoj.com/volume_showproblem.php?problem=1205,438,531
Bar Codes,1191,5.85,4.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1191,436,486
Wavio Sequence,1421,5.91,4.09,lightoj,http://lightoj.com/volume_showproblem.php?problem=1421,396,423
Shelving Books,1283,5.96,4.04,lightoj,http://lightoj.com/volume_showproblem.php?problem=1283,378,385
The Queue,1382,6.02,3.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1382,371,384
Jogging Trails,1086,6.07,3.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1086,370,396
Anagram Division,1158,6.12,3.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1158,368,381
One Unit Machine,1226,6.18,3.82,lightoj,http://lightoj.com/volume_showproblem.php?problem=1226,367,372
Winter,1084,6.23,3.77,lightoj,http://lightoj.com/volume_showproblem.php?problem=1084,362,380
LCS Revisited,1157,6.29,3.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1157,311,367
Building Twin Towers,1126,6.34,3.66,lightoj,http://lightoj.com/volume_showproblem.php?problem=1126,295,338
"One Theorem, One Year",1298,6.40,3.60,lightoj,http://lightoj.com/volume_showproblem.php?problem=1298,288,293
Tug of War,1147,6.45,3.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1147,286,371
The Vindictive Coach,1173,6.50,3.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1173,279,287
A Wedding Party,1316,6.56,3.44,lightoj,http://lightoj.com/volume_showproblem.php?problem=1316,250,326
N Queen Again,1061,6.61,3.39,lightoj,http://lightoj.com/volume_showproblem.php?problem=1061,246,262
Genes in DNA,1334,6.67,3.33,lightoj,http://lightoj.com/volume_showproblem.php?problem=1334,245,263
Lighted Panels,1092,6.72,3.28,lightoj,http://lightoj.com/volume_showproblem.php?problem=1092,242,249
DNA Sequence,1073,6.78,3.22,lightoj,http://lightoj.com/volume_showproblem.php?problem=1073,233,294
Assassin`s Creed,1406,6.83,3.17,lightoj,http://lightoj.com/volume_showproblem.php?problem=1406,231,355
Skyscraper,1360,6.88,3.12,lightoj,http://lightoj.com/volume_showproblem.php?problem=1360,224,231
Dice (II),1193,6.94,3.06,lightoj,http://lightoj.com/volume_showproblem.php?problem=1193,218,223
Help the Winners,1327,6.99,3.01,lightoj,http://lightoj.com/volume_showproblem.php?problem=1327,201,206
Colorful Board,1246,7.05,2.95,lightoj,http://lightoj.com/volume_showproblem.php?problem=1246,194,205
Where to Run,1287,7.10,2.90,lightoj,http://lightoj.com/volume_showproblem.php?problem=1287,185,193
Looking for a Subsequence,1277,7.16,2.84,lightoj,http://lightoj.com/volume_showproblem.php?problem=1277,169,190
Subsequences forming Strings,1420,7.21,2.79,lightoj,http://lightoj.com/volume_showproblem.php?problem=1420,167,188
Gone Fishing,1106,7.26,2.74,lightoj,http://lightoj.com/volume_showproblem.php?problem=1106,160,165
e-Friends,1228,7.32,2.68,lightoj,http://lightoj.com/volume_showproblem.php?problem=1228,159,169
Software Company,1180,7.37,2.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1180,159,164
Testing Mailboxes,1223,7.43,2.57,lightoj,http://lightoj.com/volume_showproblem.php?problem=1223,156,162
Colored T-Shirts,1194,7.48,2.52,lightoj,http://lightoj.com/volume_showproblem.php?problem=1194,155,161
Expected Cards,1364,7.54,2.46,lightoj,http://lightoj.com/volume_showproblem.php?problem=1364,154,163
Fantasy Cricket,1299,7.59,2.41,lightoj,http://lightoj.com/volume_showproblem.php?problem=1299,154,162
Grouping Friends,1264,7.64,2.36,lightoj,http://lightoj.com/volume_showproblem.php?problem=1264,149,162
Placing Lampposts,1230,7.70,2.30,lightoj,http://lightoj.com/volume_showproblem.php?problem=1230,147,154
Save the Trees,1415,7.75,2.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1415,142,189
Maintaining Communities,1252,7.81,2.19,lightoj,http://lightoj.com/volume_showproblem.php?problem=1252,141,149
Lighting System Design,1295,7.86,2.14,lightoj,http://lightoj.com/volume_showproblem.php?problem=1295,134,146
Aladdin and the Magical Sticks,1342,7.92,2.08,lightoj,http://lightoj.com/volume_showproblem.php?problem=1342,119,123
Tiles (II),1270,7.97,2.03,lightoj,http://lightoj.com/volume_showproblem.php?problem=1270,118,129
Disable the Wand,1394,8.02,1.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1394,116,125
Aladdin and the Game of Bracelets,1344,8.08,1.92,lightoj,http://lightoj.com/volume_showproblem.php?problem=1344,114,118
Independent Attacking Zones,1302,8.13,1.87,lightoj,http://lightoj.com/volume_showproblem.php?problem=1302,112,116
Beating the Dataset,1274,8.19,1.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1274,104,115
Strange Summation,1352,8.24,1.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1352,84,86
Tiles (III),1310,8.29,1.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1310,75,90
Playing Cards,1329,8.35,1.65,lightoj,http://lightoj.com/volume_showproblem.php?problem=1329,73,78
Aladdin and the Happy Garden,1345,8.40,1.60,lightoj,http://lightoj.com/volume_showproblem.php?problem=1345,71,75
Scientific Experiment,1381,8.46,1.54,lightoj,http://lightoj.com/volume_showproblem.php?problem=1381,70,71
ICPC Guards,1365,8.51,1.49,lightoj,http://lightoj.com/volume_showproblem.php?problem=1365,58,61
Planar Graph,1335,8.57,1.43,lightoj,http://lightoj.com/volume_showproblem.php?problem=1335,54,61
Ordered Flips,1351,8.62,1.38,lightoj,http://lightoj.com/volume_showproblem.php?problem=1351,52,66
Corrupted Tax Department,1312,8.67,1.33,lightoj,http://lightoj.com/volume_showproblem.php?problem=1312,49,53
Politeness,1399,8.73,1.27,lightoj,http://lightoj.com/volume_showproblem.php?problem=1399,48,68
Superb Sequence,1416,8.78,1.22,lightoj,http://lightoj.com/volume_showproblem.php?problem=1416,44,60
Tetromino,1376,8.84,1.16,lightoj,http://lightoj.com/volume_showproblem.php?problem=1376,15,16
Electricity Connection,1362,8.89,1.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1362,14,24
The Party for the Rich,1431,8.95,1.05,lightoj,http://lightoj.com/volume_showproblem.php?problem=1431,2,39
