problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4,
Fourth Point !!,,10242,3,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1183,,"basic_geometry_knowledge,8",,,,
The Other Two Trees,,10250,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1191,,"basic_geometry_knowledge,8",,,,
Railway,,10263,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1204,,"basic_geometry_knowledge,8",,,,
Playball !!!,,10357,7,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1298,,"basic_geometry_knowledge,8",,,,
How Far?,,10466,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1407,,"basic_geometry_knowledge,8",,,,
Center of symmetry,,10585,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1526,,"basic_geometry_knowledge,8",,,,
Yoyodyne,,10832,6.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1773,,"basic_geometry_knowledge,8",,,,
Brownie Points,,10865,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1806,,"basic_geometry_knowledge,8",,,,
Pick-up Sticks,,10902,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1843,,"basic_geometry_knowledge,8",,,,
Bright Lights,,10927,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1868,,"basic_geometry_knowledge,8",,,,
An Easy Task,,11068,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2009,,"basic_geometry_knowledge,8",,,,
Isolated Segments,,11343,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2318,,"basic_geometry_knowledge,8","segment_segment_intersection,8","basic_vector_geometry,8",,
Logo,,11505,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2500,,"basic_geometry_knowledge,8",,,,
Logo 2,,11519,6,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2514,,"basic_geometry_knowledge,8",,,,
Genius MJ,,11894,6,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2994,,"basic_geometry_knowledge,8",,,,
Circle Through Three Points,,190,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=126,,"basic_geometry_knowledge,8",,,,
The Circumference of the Circle,,438,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=379,,"basic_geometry_knowledge,8",,,,
The Knights Of The Round Table,,10195,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1136,,"basic_geometry_knowledge,8",,,,
Medians,,10347,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1288,,"basic_geometry_knowledge,8",,,,
Region,,10991,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1932,,"basic_geometry_knowledge,8",,,,
Colourful Flowers,,11152,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2093,,"basic_geometry_knowledge,8",,,,
Kingdom Division,,11164,6,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2105,,"basic_geometry_knowledge,8",,,,
Triangle Fun,,11437,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2432,,"basic_geometry_knowledge,8",,,,
Is this the easiest problem?,,11479,1.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2474,,"basic_geometry_knowledge,8",,,,
Triangle Trouble,,11579,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2626,,"basic_geometry_knowledge,8",,,,
Egypt,,11854,1.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2954,,"basic_geometry_knowledge,8",,,,
Soya Milk,,11909,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=3060,,"basic_geometry_knowledge,8",,,,
Packing polygons,,10005,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=946,,"basic_geometry_knowledge,8",,,,
Is This Integration ?,,10209,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1150,,"basic_geometry_knowledge,8",,,,
Satellites,,10221,3.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1162,,"basic_geometry_knowledge,8",,,,
Polygon Inside A Circle,,10432,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1373,,"basic_geometry_knowledge,8","convex_hull,8",,,
Ancient Village Sports,,10451,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1392,,"basic_geometry_knowledge,8",,,,
Geometry Paradox,,10573,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1514,,"basic_geometry_knowledge,8",,,,
Area,,10589,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1530,,"basic_geometry_knowledge,8",,,,
10:06:02,,12578,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=4023,,"basic_geometry_knowledge,8",,,,
Overlapping Rectangles,,460,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=401,,"basic_geometry_knowledge,8",,,,
Points in Figures: Rectangles,,476,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=417,,"basic_geometry_knowledge,8",,,,
Points in Figures: Rectangles and Circles,,477,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=418,,"basic_geometry_knowledge,8",,,,
The easiest way,,11207,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2148,,"basic_geometry_knowledge,8",,,,
Determine the Shape,,11800,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2900,,"basic_geometry_knowledge,8",,,,
SCUD Busters,,109,3.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=45,,"basic_geometry_knowledge,8","convex_hull,8",,,
Polygons,,137,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=73,,"basic_geometry_knowledge,8","convex_hull,8",,,
"Points in Figures: Rectangles, Circles, Triangles",,478,2.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=419,,"basic_geometry_knowledge,8","point_inside_polygon,7","basic_vector_geometry,8",,
Polygon,,634,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=575,,"basic_geometry_knowledge,8",,,,
Convex Hull Finding,,681,4,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=622,,"basic_geometry_knowledge,8","convex_hull,8","basic_vector_geometry,8",,
Berry Picking,,858,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=799,,"basic_geometry_knowledge,8","convex_hull,8","basic_vector_geometry,8",,
Trash Removal,,1111,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=3552,,"basic_geometry_knowledge,8","convex_hull,8","basic_vector_geometry,8",,
Board Wrapping,,10652,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1593,,"basic_geometry_knowledge,8","convex_hull,8","basic_vector_geometry,8",,
The Sultan's Problem,,11265,7.5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2232,,"basic_geometry_knowledge,8","convex_hull,8","shape_area,8","basic_vector_geometry,8",
Convex Hull,,11626,5,2,,http://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2673,,"basic_geometry_knowledge,8","convex_hull,8","basic_vector_geometry,8",,
Voronoi Diagram Returns,,gym/102058/problem/K,5,2,,https://codeforces.com/gym/102058/problem/K,,"basic_geometry_knowledge,8",,,,
Shortest Path!,,gym/101972/problem/C,5,2,,https://codeforces.com/gym/101972/problem/C,,"basic_geometry_knowledge,8",,,,
Choose a Cafeteria,,gym/101628/problem/C,5,2,,https://codeforces.com/gym/101628/problem/C,,"basic_geometry_knowledge,8","shape_intersection,8","basic_vector_geometry,8",,
Divorce,,gym/101845/problem/D,5.5,2,,https://codeforces.com/gym/101845/problem/D,,"basic_geometry_knowledge,8",,,,
Barra Lighthouse,,gym/101962/problem/G,5.5,2,,https://codeforces.com/gym/101962/problem/G,,"basic_geometry_knowledge,8",,,,
Kepler,,gym/101908/problem/K,8,2,,https://codeforces.com/gym/101908/problem/K,,"basic_geometry_knowledge,8",,,,
Studying level curves,,gym/101879/problem/A,9,2,,https://codeforces.com/gym/101879/problem/A,,"basic_geometry_knowledge,8",,,,
Floods,,gym/101808/problem/E,5.5,2,,https://codeforces.com/gym/101808/problem/E,,"basic_geometry_knowledge,8",,,,
Martadella Strikes Again,,gym/101808/problem/A,2.5,2,,https://codeforces.com/gym/101808/problem/A,,"basic_geometry_knowledge,8",,,,
The Sverdlovsk incident,,gym/101726/problem/J,5.5,2,,https://codeforces.com/gym/101726/problem/J,,"basic_geometry_knowledge,8",,,,
New Year and Curling,,908/C,3.5,2,,https://codeforces.com/contest/908/problem/C,,"basic_geometry_knowledge,8","implementation,7","basic_math,7",,
New Year Table,,140/A,3.5,2,,https://codeforces.com/contest/140/problem/A,,"basic_geometry_knowledge,8",,,,
Rectangle and Square,,136/D,4,2,,https://codeforces.com/contest/136/problem/D,,"basic_geometry_knowledge,8","shape_intersection,7","implementation,7","basic_vector_geometry,8",
Wasted Time,,127/A,1.5,2,,https://codeforces.com/contest/127/problem/A,,"basic_geometry_knowledge,8",,,,
Triangle in a Triangle,,gym/101597/problem/B,3,2,,https://codeforces.com/gym/101597/problem/B,,"basic_geometry_knowledge,8",,,,
Professor's task,,70/D,7.5,2,,https://codeforces.com/contest/70/problem/D,,"basic_geometry_knowledge,8","convex_hull,8","basic_vector_geometry,8",,
Polygon Intersection,,10321,4.5,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=1262,,"basic_geometry_knowledge,8","shape_intersection,7","basic_vector_geometry,8",,
Are you ok?,,13112,4.5,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=5023,,"basic_geometry_knowledge,8","shape_intersection,7","basic_vector_geometry,8",,
Art Gallery,,10907,5,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=1848,,"basic_geometry_knowledge,8","shape_area,7","basic_vector_geometry,8",,
Lattice Point or Not,,11768,5,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2868,,"basic_geometry_knowledge,8",,,,
efend the Recipe,,ALLPOLY,5.5,2,,https://www.codechef.com/problems/ALLPOLY,,"basic_geometry_knowledge,8",,,,
Find Distances In A Plane,,IITKWPCL,5,2,,https://www.spoj.com/problems/IITKWPCL/,,"basic_geometry_knowledge,8",,,,
Fighting Against a Polygonal Monster,,11177,7.5,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2118,,"basic_geometry_knowledge,8","convex_hull,8","shape_intersection,8","binary_search,9","basic_vector_geometry,8"
Area of Two Circles' Intersection,,600/D,5.5,2,,https://codeforces.com/problemset/problem/600/D,,"basic_geometry_knowledge,8",,,,
Cell Phone,,CERC07C,5,2,,https://www.spoj.com/problems/CERC07C/en/,,"basic_geometry_knowledge,8",,,,
Entmoot,,AMR12C,6,2,,https://www.spoj.com/problems/AMR12C/,,"basic_geometry_knowledge,8",,,,
Closest Point Pair,,CLOPPAIR,5.5,2,,https://www.spoj.com/problems/CLOPPAIR/,,"basic_geometry_knowledge,8","closest_pair_of_points,7","basic_vector_geometry,8",,
Vika and Segments,,610/D,6.5,2,,https://codeforces.com/problemset/problem/610/D,,"basic_geometry_knowledge,8","two_pointer,8",,,
Common Area,,12931,5,2,,https://onlinejudge.org/external/129/12931.pdf,,"basic_geometry_knowledge,8","shape_area,7","basic_vector_geometry,8",,
Rings and Glue,,10301,5.5,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1242,,"basic_geometry_knowledge,8","shape_intersection,8","basic_vector_geometry,8",,
Intersecting Circles,,453,5.5,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=394,,"basic_geometry_knowledge,8","shape_intersection,8","basic_vector_geometry,8",,
Runaway to a Shadow,,681/E,7.5,2,,https://codeforces.com/problemset/problem/681/E,,"basic_geometry_knowledge,8","shape_intersection,8","basic_vector_geometry,8",,
Mice problem,,793/C,6.5,2,,https://codeforces.com/problemset/problem/793/C,,"basic_geometry_knowledge,8","implementation,8","basic_math,8",,
Intersecting Line Segments,,866,6,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=807,,"basic_geometry_knowledge,8","segment_segment_intersection,8","basic_vector_geometry,8",,
"""Center"" of perimeter midpoints",,12556,5.5,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4001,,"basic_geometry_knowledge,8","shape_area,8","basic_vector_geometry,8",,
Krotek,,gym/100917/problem/K,6,2,,https://codeforces.com/gym/100917/problem/K,,"basic_geometry_knowledge,8","segment_segment_intersection,8","basic_vector_geometry,8",,
Pick up sticks,,11686,5.5,2,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2733,,"basic_geometry_knowledge,8","segment_segment_intersection,8","basic_vector_geometry,8",,
Birthday Cake,,10167,6,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=1108,,"basic_geometry_knowledge,8","segment_segment_intersection,8","line_sweep,8","basic_vector_geometry,8",
Arc and Point,,12818,5.5,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=4683,,"basic_geometry_knowledge,8","point_segment_distance,8","basic_vector_geometry,8",,
Sicrano,,SICRANO,4,2,,https://www.spoj.com/problems/SICRANO/,,"basic_geometry_knowledge,8","point_segment_distance,8","basic_vector_geometry,8",,
Peter and Snow Blower,,614/C,5.5,2,,https://codeforces.com/problemset/problem/614/C,,"basic_geometry_knowledge,8","point_segment_distance,8","basic_vector_geometry,8",,
"ACIS, A Contagious vIruS",,13117,5.5,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=5028,,"basic_geometry_knowledge,8","point_segment_distance,8","basic_vector_geometry,8",,
Toboggan of Marbles,,12483,6.5,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=3927,,"basic_geometry_knowledge,8","point_segment_distance,8","basic_vector_geometry,8",,
White Water Rafting,,12173,6,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3325,,"basic_geometry_knowledge,8","point_segment_distance,8","basic_vector_geometry,8",,
Airlines,,10075,7,2,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1016,,"basic_geometry_knowledge,8","point_segment_distance,8","basic_vector_geometry,8",,
Globetrotter,,535,5,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=476,,"basic_geometry_knowledge,8","point_segment_distance,8","basic_vector_geometry,8",,
Travelling Distance,,10897,7.5,2,,https://onlinejudge.org/external/108/10897.pdf,,"basic_geometry_knowledge,8","shape_rotation,7","basic_vector_geometry,8",,
Tunnelling the Earth,,11817,8,2,,https://onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2917,,"basic_geometry_knowledge,8","shape_rotation,7","basic_vector_geometry,8",,
Airline Hub,,10316,7.5,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=1257,,"basic_geometry_knowledge,8","shape_rotation,7","basic_vector_geometry,8",,
Antimatter Ray Clearcutting,,11008,6,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=114&page=show_problem&problem=1949,,"basic_geometry_knowledge,8","shape_intersection,8","non_classical_dp,7","basic_vector_geometry,8",
Alyona and Triangles,,682/E,8,2,,https://codeforces.com/problemset/problem/682/E,,"basic_geometry_knowledge,8","two_pointer,8",,,
Recycling Bottles,,672/C,5,2,,https://codeforces.com/contest/672/problem/C,,"basic_geometry_knowledge,8","implementation,8","basic_greedy_knowledge,8",,
Pouring Rain,,667/A,3,2,,https://codeforces.com/contest/667/problem/A,,"basic_geometry_knowledge,8","basic_math,8",,,
Mice problem,,793/C,6.5,2,,https://codeforces.com/contest/793/problem/C,,"basic_geometry_knowledge,8","basic_math,8","implementation,8",,
Cutting Carrot,,794/B,3,2,,https://codeforces.com/contest/794/problem/B,,"basic_geometry_knowledge,8","basic_math,8",,,
An overnight dance in discotheque,,814/D,6,2,,https://codeforces.com/contest/814/problem/D,,"basic_geometry_knowledge,8","basic_greedy_knowledge,8","dfs,8","tree_dp,7","basic_vector_geometry,8"
Beautiful Points,,10750,3.5,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1691,,"basic_geometry_knowledge,8","closest_pair_of_points,5","basic_vector_geometry,8",,
Mister B and Angle in Polygon,,820/B,2.5,2,,https://codeforces.com/contest/820/problem/B,,"basic_geometry_knowledge,8","constructive_algorithm,8","basic_math,8",,
Count right angle triangles,,IITKWPCC,6,2,,https://www.spoj.com/problems/IITKWPCC/,,"basic_geometry_knowledge,8",,,,
Nearest Neighbor Search,,NNS,6,2,,https://www.spoj.com/problems/NNS/,,"basic_geometry_knowledge,8","closest_pair_of_points,7","basic_vector_geometry,8",,
Tell Your World,,849/B,4,2,,https://codeforces.com/contest/849/problem/B,,"basic_geometry_knowledge,8",,,,
Entmoot,,AMR12C,6,2,,https://www.spoj.com/problems/AMR12C/,,"basic_geometry_knowledge,8","closest_pair_of_points,7","basic_vector_geometry,8",,
Sicrano,,SICRANO,4,2,,https://www.spoj.com/problems/SICRANO/,,"basic_geometry_knowledge,8","point_segment_distance,7","basic_vector_geometry,8",,
Area of circles,,VCIRCLES,6,2,,https://www.spoj.com/problems/VCIRCLES/,,"basic_geometry_knowledge,8","shape_area,7","basic_vector_geometry,8",,
The area of the union of circles,,CIRU,6,2,,https://www.spoj.com/problems/CIRU/,,"basic_geometry_knowledge,8","shape_area,7","basic_vector_geometry,8",,
Connecting three towns (variation),,THREETW1,5,2,,https://www.spoj.com/problems/THREETW1/,,"basic_geometry_knowledge,8",,,,
Closest Point Pair,,CLOPPAIR,5,2,,https://www.spoj.com/problems/CLOPPAIR/,,"basic_geometry_knowledge,8","closest_pair_of_points,7","basic_vector_geometry,8",,
THE MAX LINES,,MAXLN,3,2,,https://www.spoj.com/problems/MAXLN/,,"basic_geometry_knowledge,8",,,,
Kolica,,KOLICA,5,2,,https://www.spoj.com/problems/KOLICA/,,"basic_geometry_knowledge,8",,,,
Nearest vectors,,598/C,5.5,2,,https://codeforces.com/contest/598/problem/C,,"basic_geometry_knowledge,8",,,,
Triangle,,18/A,3,2,,https://codeforces.com/contest/18/problem/A,,"basic_geometry_knowledge,8",,,,
Find Color,,40/A,3,2,,https://codeforces.com/contest/40/problem/A,,"basic_geometry_knowledge,8","constructive_algorithm,8","basic_math,8",,
Cutting tabletops,,10406,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1347,,"basic_geometry_knowledge,8","convex_hull,8",,,
The Art Gallery,,10078,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1019,,"basic_geometry_knowledge,8","convex_hull,8",,,
Herding Frosh,,10135,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1076,,"basic_geometry_knowledge,8","convex_hull,8",,,
Smallest Bounding Rectangle,,10173,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1114,,"basic_geometry_knowledge,8","convex_hull,8",,,
Bumpy Objects,,132,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=68,,"basic_geometry_knowledge,8","convex_hull,8",,,
Moth Eradication,,218,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=154,,"basic_geometry_knowledge,8","convex_hull,8",,,
Cops and Robbers,,361,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=297,,"basic_geometry_knowledge,8","convex_hull,8",,,
Center of Masses,,10002,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=943,,"basic_geometry_knowledge,8","convex_hull,8",,,
Useless Tile Packers,,10065,7,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=1006,,"basic_geometry_knowledge,8","convex_hull,8",,,
Counting Quadrilaterals,,11139,4,2,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2080,,"basic_geometry_knowledge,8","picks_theorem,8",,,
Jacquard Circuits,,1059,4,2,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=3500,,"basic_geometry_knowledge,8","picks_theorem,8",,,
