problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Palindromic Numbers,,1205,5.8,4.2,lightoj,http://lightoj.com/volume_showproblem.php?problem=1205,438,"digit_dp,8","non_classical_dp,6",
Bar Codes,,1191,5.85,4.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1191,436,"non_classical_dp,6",,
Wavio Sequence,,1421,5.91,4.09,lightoj,http://lightoj.com/volume_showproblem.php?problem=1421,396,"non_classical_dp,6",,
Shelving Books,,1283,5.96,4.04,lightoj,http://lightoj.com/volume_showproblem.php?problem=1283,378,"non_classical_dp,8",,
The Queue,,1382,6.02,3.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1382,371,"dfs,6","non_classical_dp,8","basic_permutation_combination,8"
Jogging Trails,,1086,6.07,3.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1086,370,"bit_mask,8","floyd_warshall,6","non_classical_dp,8"
Anagram Division,,1158,6.12,3.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1158,368,"bit_mask,8",,
One Unit Machine,,1226,6.18,3.82,lightoj,http://lightoj.com/volume_showproblem.php?problem=1226,367,"non_classical_dp,8","basic_permutation_combination,8",
Winter,,1084,6.23,3.77,lightoj,http://lightoj.com/volume_showproblem.php?problem=1084,362,"bfs,7","non_classical_dp,8",
LCS Revisited,,1157,6.29,3.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1157,311,"longest_common_subsequence,8",,
Building Twin Towers,,1126,6.34,3.66,lightoj,http://lightoj.com/volume_showproblem.php?problem=1126,295,"coin_change,8","knapsack,7",
"One Theorem, One Year",,1298,6.4,3.6,lightoj,http://lightoj.com/volume_showproblem.php?problem=1298,288,"sieve,6","non_classical_dp,8",
Tug of War,,1147,6.45,3.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1147,286,"non_classical_dp,8",,
The Vindictive Coach,,1173,6.5,3.5,lightoj,http://lightoj.com/volume_showproblem.php?problem=1173,279,"non_classical_dp,8",,
N Queen Again,,1061,6.61,3.39,lightoj,http://lightoj.com/volume_showproblem.php?problem=1061,246,"basic_backtracking,7","bit_mask,8",
Lighted Panels,,1092,6.72,3.28,lightoj,http://lightoj.com/volume_showproblem.php?problem=1092,242,"basic_backtracking,7","bit_mask,8",
DNA Sequence,,1073,6.78,3.22,lightoj,http://lightoj.com/volume_showproblem.php?problem=1073,233,"bit_mask,8","non_classical_dp,8",
Assassin`s Creed,,1406,6.83,3.17,lightoj,http://lightoj.com/volume_showproblem.php?problem=1406,231,"dfs,6","bit_mask,8",
Skyscraper,,1360,6.88,3.12,lightoj,http://lightoj.com/volume_showproblem.php?problem=1360,224,"non_classical_dp,8",,
Dice (II),,1193,6.94,3.06,lightoj,http://lightoj.com/volume_showproblem.php?problem=1193,218,"non_classical_dp,8",,
Help the Winners,,1327,6.99,3.01,lightoj,http://lightoj.com/volume_showproblem.php?problem=1327,201,"bit_mask,8","non_classical_dp,8",
Colorful Board,,1246,7.05,2.95,lightoj,http://lightoj.com/volume_showproblem.php?problem=1246,194,"non_classical_dp,8","basic_permutation_combination,8",
Where to Run,,1287,7.1,2.9,lightoj,http://lightoj.com/volume_showproblem.php?problem=1287,185,"bit_mask,8","expected_value,7",
Looking for a Subsequence,,1277,7.16,2.84,lightoj,http://lightoj.com/volume_showproblem.php?problem=1277,169,"non_classical_dp,8","segment_tree,7",
Subsequences forming Strings,,1420,7.21,2.79,lightoj,http://lightoj.com/volume_showproblem.php?problem=1420,167,"non_classical_dp,8",,
Gone Fishing,,1106,7.26,2.74,lightoj,http://lightoj.com/volume_showproblem.php?problem=1106,160,"non_classical_dp,8",,
e-Friends,,1228,7.32,2.68,lightoj,http://lightoj.com/volume_showproblem.php?problem=1228,159,"bit_mask,8","non_classical_dp,8",
Software Company,,1180,7.37,2.63,lightoj,http://lightoj.com/volume_showproblem.php?problem=1180,159,"non_classical_dp,8",,
Testing Mailboxes,,1223,7.43,2.57,lightoj,http://lightoj.com/volume_showproblem.php?problem=1223,156,"non_classical_dp,8",,
Colored T-Shirts,,1194,7.48,2.52,lightoj,http://lightoj.com/volume_showproblem.php?problem=1194,155,"bit_mask,8",,
Expected Cards,,1364,7.54,2.46,lightoj,http://lightoj.com/volume_showproblem.php?problem=1364,154,"expected_value,7",,
Fantasy Cricket,,1299,7.59,2.41,lightoj,http://lightoj.com/volume_showproblem.php?problem=1299,154,"non_classical_dp,8",,
Grouping Friends,,1264,7.64,2.36,lightoj,http://lightoj.com/volume_showproblem.php?problem=1264,149,"bit_mask,8",,
Placing Lampposts,,1230,7.7,2.3,lightoj,http://lightoj.com/volume_showproblem.php?problem=1230,147,"non_classical_dp,8",,
Save the Trees,,1415,7.75,2.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1415,142,"non_classical_dp,8","segment_tree,8",
Maintaining Communities,,1252,7.81,2.19,lightoj,http://lightoj.com/volume_showproblem.php?problem=1252,141,"sibling_dp,8",,
Lighting System Design,,1295,7.86,2.14,lightoj,http://lightoj.com/volume_showproblem.php?problem=1295,134,"non_classical_dp,8",,
Aladdin and the Magical Sticks,,1342,7.92,2.08,lightoj,http://lightoj.com/volume_showproblem.php?problem=1342,119,"non_classical_dp,8",,
Tiles (II),,1270,7.97,2.03,lightoj,http://lightoj.com/volume_showproblem.php?problem=1270,118,"non_classical_dp,8","bit_mask,8",
Disable the Wand,,1394,8.02,1.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1394,116,"non_classical_dp,9",,
Aladdin and the Game of Bracelets,,1344,8.08,1.92,lightoj,http://lightoj.com/volume_showproblem.php?problem=1344,114,"non_classical_dp,9",,
Independent Attacking Zones,,1302,8.13,1.87,lightoj,http://lightoj.com/volume_showproblem.php?problem=1302,112,"non_classical_dp,8",,
Beating the Dataset,,1274,8.19,1.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1274,104,"non_classical_dp,8",,
Strange Summation,,1352,8.24,1.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1352,84,"bit_mask,5","non_classical_dp,6",
Tiles (III),,1310,8.29,1.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1310,75,"bit_mask,7",,
Playing Cards,,1329,8.35,1.65,lightoj,http://lightoj.com/volume_showproblem.php?problem=1329,73,"non_classical_dp,8",,
Aladdin and the Happy Garden,,1345,8.4,1.6,lightoj,http://lightoj.com/volume_showproblem.php?problem=1345,71,"non_classical_dp,8",,
Scientific Experiment,,1381,8.46,1.54,lightoj,http://lightoj.com/volume_showproblem.php?problem=1381,70,"non_classical_dp,8",,
ICPC Guards,,1365,8.51,1.49,lightoj,http://lightoj.com/volume_showproblem.php?problem=1365,58,"non_classical_dp,8",,
Planar Graph,,1335,8.57,1.43,lightoj,http://lightoj.com/volume_showproblem.php?problem=1335,54,"non_classical_dp,8",,
Ordered Flips,,1351,8.62,1.38,lightoj,http://lightoj.com/volume_showproblem.php?problem=1351,52,"non_classical_dp,8",,
Corrupted Tax Department,,1312,8.67,1.33,lightoj,http://lightoj.com/volume_showproblem.php?problem=1312,49,"non_classical_dp,8",,
Politeness,,1399,8.73,1.27,lightoj,http://lightoj.com/volume_showproblem.php?problem=1399,48,"non_classical_dp,8",,
Superb Sequence,,1416,8.78,1.22,lightoj,http://lightoj.com/volume_showproblem.php?problem=1416,44,"non_classical_dp,8",,
Electricity Connection,,1362,8.89,1.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1362,14,"non_classical_dp,8",,
The Party for the Rich,,1431,8.95,1.05,lightoj,http://lightoj.com/volume_showproblem.php?problem=1431,2,"non_classical_dp,8",,
