problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Factovisors,10139,3.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1080,,"factorization,6",,,
Product of digits,993,3.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=934,,"factorization,6",,,
Perfect P-th Powers,10622,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1563,,"factorization,6",,,
Divisibility of Factors,10484,3.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1425,,"factorization,6",,,
Persistent Numbers,10527,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1468,,"factorization,6",,,
LCM,10680,2.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1621,,"factorization,6","lcm,6",,
Euclid Problem,10104,6,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1045,,"extended_euclid,7",,,
Marbles,10090,6,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1031,,"extended_euclid,7",,,
Rare Easy Problem,10633,6.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1574,,"extended_euclid,7",,,
Big Mod,374,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=310,,"big_mod,7",,,
Ones,10127,2.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1068,,"modular_arithmetic,6",,,
The Last Non-zero Digit.,10212,2.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1153,,"modular_arithmetic,6",,,
Boxes of Chocolates,10489,2.7,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1430,,"modular_arithmetic,6",,,
Ocean Deep! - Make it shallow!!,10176,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1117,,"modular_arithmetic,6",,,
